timestamp,session_id,last_lap,current_lap,sector1_time,sector2_time,sector3_time,delta_front,lap_distance,car_pos,current_sector
310.246,13859826608897719907,0,0,0,0,0,0,0.000,0,0
310.260,13859826608897719907,0,0,0,0,0,0,0.000,0,0
310.274,13859826608897719907,0,0,0,0,0,0,0.000,0,0
310.303,13859826608897719907,0,0,0,0,0,0,0.000,0,0
310.317,13859826608897719907,0,0,0,0,0,0,0.000,0,0
310.332,13859826608897719907,0,0,0,0,0,0,0.000,0,0
310.346,13859826608897719907,0,0,0,0,0,0,0.000,0,0
310.360,13859826608897719907,0,0,0,0,0,0,0.000,0,0
310.374,13859826608897719907,0,0,0,0,0,0,0.000,0,0
310.403,13859826608897719907,0,0,0,0,0,0,0.000,0,0
310.417,13859826608897719907,0,0,0,0,0,0,0.000,0,0
310.432,13859826608897719907,0,0,0,0,0,0,0.000,0,0
310.446,13859826608897719907,0,0,0,0,0,0,0.000,0,0
310.460,13859826608897719907,0,0,0,0,0,0,0.000,0,0
310.475,13859826608897719907,0,0,0,0,0,0,0.000,0,0
310.489,13859826608897719907,0,0,0,0,0,0,0.000,0,0
310.518,13859826608897719907,0,0,0,0,0,0,0.000,0,0
310.533,13859826608897719907,0,0,0,0,0,0,0.000,0,0
310.548,13859826608897719907,0,0,0,0,0,0,0.000,0,0
310.562,13859826608897719907,0,0,0,0,0,0,0.000,0,0
310.577,13859826608897719907,0,0,0,0,0,0,0.000,0,0
310.592,13859826608897719907,0,0,0,0,0,0,0.000,0,0
310.607,13859826608897719907,0,0,0,0,0,0,0.000,0,0
310.636,13859826608897719907,0,0,0,0,0,0,0.000,0,0
310.665,13859826608897719907,0,0,0,0,0,0,0.000,0,0
310.680,13859826608897719907,0,0,0,0,0,0,0.000,0,0
310.694,13859826608897719907,0,0,0,0,0,0,0.000,0,0
310.708,13859826608897719907,0,0,0,0,0,0,0.000,0,0
310.723,13859826608897719907,0,0,0,0,0,0,0.000,0,0
310.752,13859826608897719907,0,0,0,0,0,0,0.000,0,0
310.767,13859826608897719907,0,0,0,0,0,0,0.000,0,0
310.781,13859826608897719907,0,0,0,0,0,0,0.000,0,0
310.796,13859826608897719907,0,0,0,0,0,0,0.000,0,0
310.811,13859826608897719907,0,0,0,0,0,0,0.000,0,0
310.840,13859826608897719907,0,0,0,0,0,0,0.000,0,0
310.870,13859826608897719907,0,0,0,0,0,0,0.000,0,0
310.884,13859826608897719907,0,0,0,0,0,0,0.000,0,0
310.899,13859826608897719907,0,0,0,0,0,0,0.000,0,0
310.914,13859826608897719907,0,0,0,0,0,0,0.000,0,0
310.944,13859826608897719907,0,0,0,0,0,0,0.000,0,0
310.958,13859826608897719907,0,0,0,0,0,0,0.000,0,0
310.973,13859826608897719907,0,0,0,0,0,0,0.000,0,0
311.003,13859826608897719907,0,0,0,0,0,0,0.000,0,0
311.017,13859826608897719907,0,0,0,0,0,0,0.000,0,0
311.292,13859826608897719907,0,0,0,0,0,0,0.000,0,0
311.563,13859826608897719907,0,0,0,0,0,0,0.000,0,0
311.851,13859826608897719907,0,0,0,0,0,0,0.000,0,0
312.140,13859826608897719907,0,0,0,0,0,0,0.000,0,0
312.498,13859826608897719907,0,0,0,0,0,0,0.000,0,0
312.512,13859826608897719907,0,0,0,0,0,0,0.000,0,0
312.542,13859826608897719907,0,0,0,0,0,0,0.000,0,0
312.557,13859826608897719907,0,0,0,0,0,0,0.000,0,0
312.587,13859826608897719907,0,0,0,0,0,0,0.000,0,0
312.602,13859826608897719907,0,0,0,0,0,0,0.000,0,0
312.617,13859826608897719907,0,0,0,0,0,0,0.000,0,0
312.647,13859826608897719907,0,0,0,0,0,0,0.000,0,0
312.662,13859826608897719907,0,0,0,0,0,0,0.000,0,0
312.677,13859826608897719907,0,0,0,0,0,0,0.000,0,0
312.691,13859826608897719907,0,0,0,0,0,0,0.000,0,0
312.720,13859826608897719907,0,0,0,0,0,0,0.000,0,0
312.749,13859826608897719907,0,0,0,0,0,0,0.000,0,0
312.763,13859826608897719907,0,0,0,0,0,0,0.000,0,0
312.777,13859826608897719907,0,0,0,0,0,0,0.000,0,0
312.792,13859826608897719907,0,0,0,0,0,0,0.000,0,0
312.820,13859826608897719907,0,0,0,0,0,0,0.000,0,0
312.834,13859826608897719907,0,0,0,0,0,0,0.000,0,0
312.848,13859826608897719907,0,0,0,0,0,0,0.000,0,0
312.862,13859826608897719907,0,0,0,0,0,0,0.000,0,0
312.876,13859826608897719907,0,0,0,0,0,0,0.000,0,0
